model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,mean_rmse
additive,linear,0.8,0.15,1,1.25,2,0.0443418591759
additive,linear,0.8,0.15,1.5,1.875,0,0.0555522960087
additive,linear,0.8,0.15,1.5,1.875,1,0.0501933244352
additive,linear,0.8,0.15,1.5,1.875,2,0.0512165223594
additive,linear,0.8,0.15,2,2.5,0,0.0652405294117
additive,linear,0.8,0.15,2,2.5,1,0.059942489921
additive,linear,0.8,0.15,2,2.5,2,0.0595357343401
additive,linear,0.8,0.15,2.5,3.125,0,0.0757378920845
additive,linear,0.8,0.15,2.5,3.125,1,0.070639214599
additive,linear,0.8,0.15,2.5,3.125,2,0.0687551843573
additive,linear,0.8,0.15,3,3.75,0,0.0867487206098
additive,linear,0.8,0.15,3,3.75,1,0.0819076743564
additive,linear,0.8,0.15,3,3.75,2,0.0785570901351
additive,linear,0.8,0.2,1,1.25,0,0.0492666501469
additive,linear,0.8,0.2,1,1.25,1,0.04641582141
additive,linear,0.8,0.2,1,1.25,2,0.0471633999324
additive,linear,0.8,0.2,1.5,1.875,0,0.0597836249552
additive,linear,0.8,0.2,1.5,1.875,1,0.05804351689
additive,linear,0.8,0.2,1.5,1.875,2,0.0571612585332
additive,linear,0.8,0.2,2,2.5,0,0.0718002278794
additive,linear,0.8,0.2,2,2.5,1,0.071344743403
additive,linear,0.8,0.2,2,2.5,2,0.068900950585
additive,linear,0.8,0.2,2.5,3.125,0,0.084675541214
additive,linear,0.8,0.2,2.5,3.125,1,0.085531313099
additive,linear,0.8,0.2,2.5,3.125,2,0.0816121474584
additive,linear,0.8,0.2,3,3.75,0,0.0980698266394
additive,linear,0.8,0.2,3,3.75,1,0.10022346249
additive,linear,0.8,0.2,3,3.75,2,0.094899151389
additive,linear,0.8,0.25,1,1.25,0,0.0510505326586
additive,linear,0.8,0.25,1,1.25,1,0.0490838209462
additive,linear,0.8,0.25,1,1.25,2,0.0501228004548
additive,linear,0.8,0.25,1.5,1.875,0,0.0630112154093
additive,linear,0.8,0.25,1.5,1.875,1,0.0626576653971
additive,linear,0.8,0.25,1.5,1.875,2,0.0621162576593
additive,linear,0.8,0.25,2,2.5,0,0.0765392532397
additive,linear,0.8,0.25,2,2.5,1,0.0778550661747
additive,linear,0.8,0.25,2,2.5,2,0.0757222786419
additive,linear,0.8,0.25,2.5,3.125,0,0.0909362378154
additive,linear,0.8,0.25,2.5,3.125,1,0.0938873576881
additive,linear,0.8,0.25,2.5,3.125,2,0.0901853955848
additive,linear,0.8,0.25,3,3.75,0,0.105845486934
additive,linear,0.8,0.25,3,3.75,1,0.110390984564
additive,linear,0.8,0.25,3,3.75,2,0.105147522636
additive,linear,0.8,0.3,1,1.25,0,0.0541988353159
additive,linear,0.8,0.3,1,1.25,1,0.0526427800473
additive,linear,0.8,0.3,1,1.25,2,0.0554340802195
additive,linear,0.8,0.3,1.5,1.875,0,0.0679945938092
additive,linear,0.8,0.3,1.5,1.875,1,0.0676806878186
additive,linear,0.8,0.3,1.5,1.875,2,0.070319888321
additive,linear,0.8,0.3,2,2.5,0,0.0832722719913
additive,linear,0.8,0.3,2,2.5,1,0.0841846710703
additive,linear,0.8,0.3,2,2.5,2,0.0867405848939
additive,linear,0.8,0.3,2.5,3.125,0,0.0993504926086
additive,linear,0.8,0.3,2.5,3.125,1,0.101442303249
additive,linear,0.8,0.3,2.5,3.125,2,0.103960160217
additive,linear,0.8,0.3,3,3.75,0,0.115895936112
additive,linear,0.8,0.3,3,3.75,1,0.119126179626
additive,linear,0.8,0.3,3,3.75,2,0.121637350641
additive,robust,0.4,0.1,1,2.5,0,0.0243067656035
additive,robust,0.4,0.1,1,2.5,1,0.0223655281236
additive,robust,0.4,0.1,1,2.5,2,0.0206770994242
additive,robust,0.4,0.1,1.5,3.75,0,0.025382184037
additive,robust,0.4,0.1,1.5,3.75,1,0.0238414167916
additive,robust,0.4,0.1,1.5,3.75,2,0.021665303433
additive,robust,0.4,0.1,2,5,0,0.025985115448
additive,robust,0.4,0.1,2,5,1,0.0247016851828
additive,robust,0.4,0.1,2,5,2,0.02230351611
additive,robust,0.4,0.1,2.5,6.25,0,0.0264275998667
additive,robust,0.4,0.1,2.5,6.25,1,0.0252079468114
additive,robust,0.4,0.1,2.5,6.25,2,0.0227841934669
additive,robust,0.4,0.1,3,7.5,0,0.0267854491093
additive,robust,0.4,0.1,3,7.5,1,0.0255459085186
additive,robust,0.4,0.1,3,7.5,2,0.0232081462484
additive,robust,0.4,0.15,1,2.5,0,0.0247352773031
additive,robust,0.4,0.15,1,2.5,1,0.0236384958278
additive,robust,0.4,0.15,1,2.5,2,0.0235529802778
additive,robust,0.4,0.15,1.5,3.75,0,0.0261013884479
additive,robust,0.4,0.15,1.5,3.75,1,0.0256051565673
additive,robust,0.4,0.15,1.5,3.75,2,0.025756568738
additive,robust,0.4,0.15,2,5,0,0.0269599793905
additive,robust,0.4,0.15,2,5,1,0.0267129811364
additive,robust,0.4,0.15,2,5,2,0.0272676046088
additive,robust,0.4,0.15,2.5,6.25,0,0.0276151323514
additive,robust,0.4,0.15,2.5,6.25,1,0.0273530783428
additive,robust,0.4,0.15,2.5,6.25,2,0.0283962740609
additive,robust,0.4,0.15,3,7.5,0,0.0281395853487
additive,robust,0.4,0.15,3,7.5,1,0.0277726298472
additive,robust,0.4,0.15,3,7.5,2,0.0293326657802
additive,robust,0.4,0.2,1,2.5,0,0.0253474461934
additive,robust,0.4,0.2,1,2.5,1,0.0275170445275
additive,robust,0.4,0.2,1,2.5,2,0.0257738430711
additive,robust,0.4,0.2,1.5,3.75,0,0.0272753536643
additive,robust,0.4,0.2,1.5,3.75,1,0.0306930386963
additive,robust,0.4,0.2,1.5,3.75,2,0.0285791903742
additive,robust,0.4,0.2,2,5,0,0.0286342736305
additive,robust,0.4,0.2,2,5,1,0.0325643726924
additive,robust,0.4,0.2,2,5,2,0.0304775250024
additive,robust,0.4,0.2,2.5,6.25,0,0.029704209055
additive,robust,0.4,0.2,2.5,6.25,1,0.0337121883729
additive,robust,0.4,0.2,2.5,6.25,2,0.0318733218063
additive,robust,0.4,0.2,3,7.5,0,0.030551866953
additive,robust,0.4,0.2,3,7.5,1,0.0344888629925
additive,robust,0.4,0.2,3,7.5,2,0.0330312862698
additive,robust,0.4,0.25,1,2.5,0,0.0270711877983
additive,robust,0.4,0.25,1,2.5,1,0.0276944342206
additive,robust,0.4,0.25,1,2.5,2,0.0275156175247
additive,robust,0.4,0.25,1.5,3.75,0,0.0298550999955
additive,robust,0.4,0.25,1.5,3.75,1,0.0308987741002
additive,robust,0.4,0.25,1.5,3.75,2,0.0306414389846
additive,robust,0.4,0.25,2,5,0,0.0318248469084
additive,robust,0.4,0.25,2,5,1,0.0328924332793
