model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
additive,linear,0.4,0.1,2,5,2,1,501,0.0475283259333
additive,linear,0.4,0.1,2,5,2,2,355,0.023444158262
additive,linear,0.4,0.1,2,5,2,3,251,0.0281910345352
additive,linear,0.4,0.1,2,5,2,4,177,0.0315737363638
additive,linear,0.4,0.1,2,5,2,5,125,0.0343808352801
additive,linear,0.4,0.1,2,5,2,6,89,0.0370140378426
additive,linear,0.4,0.1,2,5,2,7,63,0.0401839224313
additive,linear,0.4,0.1,2,5,2,8,45,0.046358066103
additive,linear,0.4,0.1,2,5,2,9,31,0.0687111741054
additive,robust,0.4,0.1,2,5,2,1,501,0.0309918856217
additive,robust,0.4,0.1,2,5,2,2,355,0.0124656661078
additive,robust,0.4,0.1,2,5,2,3,251,0.0141585892595
additive,robust,0.4,0.1,2,5,2,4,177,0.0155644032029
additive,robust,0.4,0.1,2,5,2,5,125,0.0169058759004
additive,robust,0.4,0.1,2,5,2,6,89,0.0217265833564
additive,robust,0.4,0.1,2,5,2,7,63,0.0249669400474
additive,robust,0.4,0.1,2,5,2,8,45,0.0266729168599
additive,robust,0.4,0.1,2,5,2,9,31,0.0372787846339
additive,linear,0.4,0.1,2.5,6.25,0,1,501,0.062743373338
additive,linear,0.4,0.1,2.5,6.25,0,2,355,0.0474362743614
additive,linear,0.4,0.1,2.5,6.25,0,3,251,0.0491902593735
additive,linear,0.4,0.1,2.5,6.25,0,4,177,0.0447965975148
additive,linear,0.4,0.1,2.5,6.25,0,5,125,0.0499412855888
additive,linear,0.4,0.1,2.5,6.25,0,6,89,0.0564452359226
additive,linear,0.4,0.1,2.5,6.25,0,7,63,0.0696113636757
additive,linear,0.4,0.1,2.5,6.25,0,8,45,0.0886918677049
additive,linear,0.4,0.1,2.5,6.25,0,9,31,0.110477365604
additive,robust,0.4,0.1,2.5,6.25,0,1,501,0.0172200260433
additive,robust,0.4,0.1,2.5,6.25,0,2,355,0.0166799097587
additive,robust,0.4,0.1,2.5,6.25,0,3,251,0.0178441823203
additive,robust,0.4,0.1,2.5,6.25,0,4,177,0.0168232564116
additive,robust,0.4,0.1,2.5,6.25,0,5,125,0.0235832698784
additive,robust,0.4,0.1,2.5,6.25,0,6,89,0.030221654409
additive,robust,0.4,0.1,2.5,6.25,0,7,63,0.0331447591384
additive,robust,0.4,0.1,2.5,6.25,0,8,45,0.0371653893248
additive,robust,0.4,0.1,2.5,6.25,0,9,31,0.0451659515161
additive,linear,0.4,0.1,2.5,6.25,1,1,501,0.0520455941284
additive,linear,0.4,0.1,2.5,6.25,1,2,355,0.0428460887457
additive,linear,0.4,0.1,2.5,6.25,1,3,251,0.0369121361702
additive,linear,0.4,0.1,2.5,6.25,1,4,177,0.043986198353
additive,linear,0.4,0.1,2.5,6.25,1,5,125,0.0593691002596
additive,linear,0.4,0.1,2.5,6.25,1,6,89,0.0610488979375
additive,linear,0.4,0.1,2.5,6.25,1,7,63,0.0646894401188
additive,linear,0.4,0.1,2.5,6.25,1,8,45,0.0755055188424
additive,linear,0.4,0.1,2.5,6.25,1,9,31,0.0942983122104
additive,robust,0.4,0.1,2.5,6.25,1,1,501,0.024732518149
additive,robust,0.4,0.1,2.5,6.25,1,2,355,0.0150449995362
additive,robust,0.4,0.1,2.5,6.25,1,3,251,0.014714171284
additive,robust,0.4,0.1,2.5,6.25,1,4,177,0.0175960863861
additive,robust,0.4,0.1,2.5,6.25,1,5,125,0.0225380756057
additive,robust,0.4,0.1,2.5,6.25,1,6,89,0.0253723912105
additive,robust,0.4,0.1,2.5,6.25,1,7,63,0.0287753224689
additive,robust,0.4,0.1,2.5,6.25,1,8,45,0.0347046708244
additive,robust,0.4,0.1,2.5,6.25,1,9,31,0.043393285838
additive,linear,0.4,0.1,2.5,6.25,2,1,501,0.0544485654438
additive,linear,0.4,0.1,2.5,6.25,2,2,355,0.0291881387444
additive,linear,0.4,0.1,2.5,6.25,2,3,251,0.0348029424959
additive,linear,0.4,0.1,2.5,6.25,2,4,177,0.0385627765039
additive,linear,0.4,0.1,2.5,6.25,2,5,125,0.0420214652521
additive,linear,0.4,0.1,2.5,6.25,2,6,89,0.0444069260335
additive,linear,0.4,0.1,2.5,6.25,2,7,63,0.0479132720256
additive,linear,0.4,0.1,2.5,6.25,2,8,45,0.0563454971698
additive,linear,0.4,0.1,2.5,6.25,2,9,31,0.0836397327783
additive,robust,0.4,0.1,2.5,6.25,2,1,501,0.031757460911
additive,robust,0.4,0.1,2.5,6.25,2,2,355,0.0128962621858
additive,robust,0.4,0.1,2.5,6.25,2,3,251,0.0146171571587
additive,robust,0.4,0.1,2.5,6.25,2,4,177,0.0158667835345
additive,robust,0.4,0.1,2.5,6.25,2,5,125,0.0170997142644
additive,robust,0.4,0.1,2.5,6.25,2,6,89,0.0218803449236
additive,robust,0.4,0.1,2.5,6.25,2,7,63,0.0251322989998
additive,robust,0.4,0.1,2.5,6.25,2,8,45,0.0272879672165
additive,robust,0.4,0.1,2.5,6.25,2,9,31,0.0385197520076
additive,linear,0.4,0.1,3,7.5,0,1,501,0.0744542650527
additive,linear,0.4,0.1,3,7.5,0,2,355,0.0559799141345
additive,linear,0.4,0.1,3,7.5,0,3,251,0.0582171014069
additive,linear,0.4,0.1,3,7.5,0,4,177,0.0531184947078
additive,linear,0.4,0.1,3,7.5,0,5,125,0.058147127536
additive,linear,0.4,0.1,3,7.5,0,6,89,0.0652628524211
additive,linear,0.4,0.1,3,7.5,0,7,63,0.0817545293221
additive,linear,0.4,0.1,3,7.5,0,8,45,0.104736774023
additive,linear,0.4,0.1,3,7.5,0,9,31,0.130445737216
additive,robust,0.4,0.1,3,7.5,0,1,501,0.0171115998069
additive,robust,0.4,0.1,3,7.5,0,2,355,0.0169860007793
additive,robust,0.4,0.1,3,7.5,0,3,251,0.0179307413643
additive,robust,0.4,0.1,3,7.5,0,4,177,0.0168660997106
additive,robust,0.4,0.1,3,7.5,0,5,125,0.0238714611404
additive,robust,0.4,0.1,3,7.5,0,6,89,0.0306846393077
additive,robust,0.4,0.1,3,7.5,0,7,63,0.033653373108
additive,robust,0.4,0.1,3,7.5,0,8,45,0.037834681679
additive,robust,0.4,0.1,3,7.5,0,9,31,0.0461304450877
additive,linear,0.4,0.1,3,7.5,1,1,501,0.0624330953344
additive,linear,0.4,0.1,3,7.5,1,2,355,0.0518379796305
additive,linear,0.4,0.1,3,7.5,1,3,251,0.0435540826875
additive,linear,0.4,0.1,3,7.5,1,4,177,0.0515120679193
additive,linear,0.4,0.1,3,7.5,1,5,125,0.070142654702
additive,linear,0.4,0.1,3,7.5,1,6,89,0.0722847257803
additive,linear,0.4,0.1,3,7.5,1,7,63,0.0764791715921
additive,linear,0.4,0.1,3,7.5,1,8,45,0.089038655599
additive,linear,0.4,0.1,3,7.5,1,9,31,0.111451166494
additive,robust,0.4,0.1,3,7.5,1,1,501,0.0253821287247
additive,robust,0.4,0.1,3,7.5,1,2,355,0.0153612624907
additive,robust,0.4,0.1,3,7.5,1,3,251,0.0147560783819
additive,robust,0.4,0.1,3,7.5,1,4,177,0.0176459028299
additive,robust,0.4,0.1,3,7.5,1,5,125,0.0227585275027
additive,robust,0.4,0.1,3,7.5,1,6,89,0.0257635785833
additive,robust,0.4,0.1,3,7.5,1,7,63,0.0292232581692
additive,robust,0.4,0.1,3,7.5,1,8,45,0.0350213468221
additive,robust,0.4,0.1,3,7.5,1,9,31,0.0440010931628
additive,linear,0.4,0.1,3,7.5,2,1,501,0.0619781629287
additive,linear,0.4,0.1,3,7.5,2,2,355,0.035033960425
additive,linear,0.4,0.1,3,7.5,2,3,251,0.0415314601621
additive,linear,0.4,0.1,3,7.5,2,4,177,0.0456907870214
additive,linear,0.4,0.1,3,7.5,2,5,125,0.0498158894669
additive,linear,0.4,0.1,3,7.5,2,6,89,0.0520988438683
additive,linear,0.4,0.1,3,7.5,2,7,63,0.0560718877123
additive,linear,0.4,0.1,3,7.5,2,8,45,0.0667614527282
additive,linear,0.4,0.1,3,7.5,2,9,31,0.0989491841465
additive,robust,0.4,0.1,3,7.5,2,1,501,0.0325187360204
additive,robust,0.4,0.1,3,7.5,2,2,355,0.0132382589728
additive,robust,0.4,0.1,3,7.5,2,3,251,0.0149958013238
additive,robust,0.4,0.1,3,7.5,2,4,177,0.0161091311255
additive,robust,0.4,0.1,3,7.5,2,5,125,0.0172357494171
additive,robust,0.4,0.1,3,7.5,2,6,89,0.0220231806996
additive,robust,0.4,0.1,3,7.5,2,7,63,0.0253219587307
additive,robust,0.4,0.1,3,7.5,2,8,45,0.0278473598012
additive,robust,0.4,0.1,3,7.5,2,9,31,0.0395831401449
additive,linear,0.4,0.15,1,2.5,0,1,501,0.0313435927528
additive,linear,0.4,0.15,1,2.5,0,2,355,0.0234235917526
additive,linear,0.4,0.15,1,2.5,0,3,251,0.0240339993952
additive,linear,0.4,0.15,1,2.5,0,4,177,0.0226004655285
additive,linear,0.4,0.15,1,2.5,0,5,125,0.0291713570617
additive,linear,0.4,0.15,1,2.5,0,6,89,0.0328084416782
additive,linear,0.4,0.15,1,2.5,0,7,63,0.0339870023184
additive,linear,0.4,0.15,1,2.5,0,8,45,0.0413418610092
additive,linear,0.4,0.15,1,2.5,0,9,31,0.054872070856
additive,robust,0.4,0.15,1,2.5,0,1,501,0.0199517316074
additive,robust,0.4,0.15,1,2.5,0,2,355,0.0162667031632
additive,robust,0.4,0.15,1,2.5,0,3,251,0.0187178291093
additive,robust,0.4,0.15,1,2.5,0,4,177,0.0171322191042
additive,robust,0.4,0.15,1,2.5,0,5,125,0.0215250081397
additive,robust,0.4,0.15,1,2.5,0,6,89,0.0263476596919
additive,robust,0.4,0.15,1,2.5,0,7,63,0.0281335036208
additive,robust,0.4,0.15,1,2.5,0,8,45,0.0324133704947
additive,robust,0.4,0.15,1,2.5,0,9,31,0.0421294707971
additive,linear,0.4,0.15,1,2.5,1,1,501,0.020515518516
additive,linear,0.4,0.15,1,2.5,1,2,355,0.0174260000979
