model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
masked,linear,0.4,0.1,2.5,6.25,0,3,251,0.0511104137041
masked,linear,0.4,0.1,2.5,6.25,0,4,177,0.0480891316996
masked,linear,0.4,0.1,2.5,6.25,0,5,125,0.0524251093321
masked,linear,0.4,0.1,2.5,6.25,0,6,89,0.0584559317989
masked,linear,0.4,0.1,2.5,6.25,0,7,63,0.072052889142
masked,linear,0.4,0.1,2.5,6.25,0,8,45,0.0907164419765
masked,linear,0.4,0.1,2.5,6.25,0,9,31,0.112234578699
masked,robust,0.4,0.1,2.5,6.25,0,1,501,0.0229289502347
masked,robust,0.4,0.1,2.5,6.25,0,2,355,0.0178621223165
masked,robust,0.4,0.1,2.5,6.25,0,3,251,0.0182128695698
masked,robust,0.4,0.1,2.5,6.25,0,4,177,0.0168793455433
masked,robust,0.4,0.1,2.5,6.25,0,5,125,0.0227466019
masked,robust,0.4,0.1,2.5,6.25,0,6,89,0.0292649454284
masked,robust,0.4,0.1,2.5,6.25,0,7,63,0.0326646892173
masked,robust,0.4,0.1,2.5,6.25,0,8,45,0.0366904175064
masked,robust,0.4,0.1,2.5,6.25,0,9,31,0.0452794813427
masked,linear,0.4,0.1,2.5,6.25,1,1,501,0.0539911843735
masked,linear,0.4,0.1,2.5,6.25,1,2,355,0.0408247462897
masked,linear,0.4,0.1,2.5,6.25,1,3,251,0.036308938998
masked,linear,0.4,0.1,2.5,6.25,1,4,177,0.0431663729262
masked,linear,0.4,0.1,2.5,6.25,1,5,125,0.0576129652903
masked,linear,0.4,0.1,2.5,6.25,1,6,89,0.0591764565056
masked,linear,0.4,0.1,2.5,6.25,1,7,63,0.0636986139137
masked,linear,0.4,0.1,2.5,6.25,1,8,45,0.0755341221204
masked,linear,0.4,0.1,2.5,6.25,1,9,31,0.0939974581243
masked,robust,0.4,0.1,2.5,6.25,1,1,501,0.0282825177911
masked,robust,0.4,0.1,2.5,6.25,1,2,355,0.0154171594359
masked,robust,0.4,0.1,2.5,6.25,1,3,251,0.0138747087931
masked,robust,0.4,0.1,2.5,6.25,1,4,177,0.0174056219343
masked,robust,0.4,0.1,2.5,6.25,1,5,125,0.0228368605503
masked,robust,0.4,0.1,2.5,6.25,1,6,89,0.0253816803181
masked,robust,0.4,0.1,2.5,6.25,1,7,63,0.0295200665677
masked,robust,0.4,0.1,2.5,6.25,1,8,45,0.0354795019913
masked,robust,0.4,0.1,2.5,6.25,1,9,31,0.0441600093793
masked,linear,0.4,0.1,2.5,6.25,2,1,501,0.0415963019734
masked,linear,0.4,0.1,2.5,6.25,2,2,355,0.0292052672532
masked,linear,0.4,0.1,2.5,6.25,2,3,251,0.0361927779917
masked,linear,0.4,0.1,2.5,6.25,2,4,177,0.0385244830868
masked,linear,0.4,0.1,2.5,6.25,2,5,125,0.0420190968192
masked,linear,0.4,0.1,2.5,6.25,2,6,89,0.0456572856536
masked,linear,0.4,0.1,2.5,6.25,2,7,63,0.0494822952677
masked,linear,0.4,0.1,2.5,6.25,2,8,45,0.0563775050201
masked,linear,0.4,0.1,2.5,6.25,2,9,31,0.0827890624866
masked,robust,0.4,0.1,2.5,6.25,2,1,501,0.0232342816235
masked,robust,0.4,0.1,2.5,6.25,2,2,355,0.0134573631226
masked,robust,0.4,0.1,2.5,6.25,2,3,251,0.0150518382732
masked,robust,0.4,0.1,2.5,6.25,2,4,177,0.0154620897222
masked,robust,0.4,0.1,2.5,6.25,2,5,125,0.0169596187219
masked,robust,0.4,0.1,2.5,6.25,2,6,89,0.0227431246312
masked,robust,0.4,0.1,2.5,6.25,2,7,63,0.0262544027722
masked,robust,0.4,0.1,2.5,6.25,2,8,45,0.0275492328804
masked,robust,0.4,0.1,2.5,6.25,2,9,31,0.0386426507816
masked,linear,0.4,0.1,3,7.5,0,1,501,0.0917934525156
masked,linear,0.4,0.1,3,7.5,0,2,355,0.0574014785733
masked,linear,0.4,0.1,3,7.5,0,3,251,0.060040057465
masked,linear,0.4,0.1,3,7.5,0,4,177,0.0563165987974
masked,linear,0.4,0.1,3,7.5,0,5,125,0.0606502100714
masked,linear,0.4,0.1,3,7.5,0,6,89,0.0673121029644
masked,linear,0.4,0.1,3,7.5,0,7,63,0.0841463272186
masked,linear,0.4,0.1,3,7.5,0,8,45,0.106681981324
masked,linear,0.4,0.1,3,7.5,0,9,31,0.132084607842
masked,robust,0.4,0.1,3,7.5,0,1,501,0.0219361952561
masked,robust,0.4,0.1,3,7.5,0,2,355,0.0180840425794
masked,robust,0.4,0.1,3,7.5,0,3,251,0.0182874728951
masked,robust,0.4,0.1,3,7.5,0,4,177,0.0168534900402
masked,robust,0.4,0.1,3,7.5,0,5,125,0.0230328695737
masked,robust,0.4,0.1,3,7.5,0,6,89,0.0297474169422
masked,robust,0.4,0.1,3,7.5,0,7,63,0.0331390558825
masked,robust,0.4,0.1,3,7.5,0,8,45,0.0373399241411
masked,robust,0.4,0.1,3,7.5,0,9,31,0.0461442556337
masked,linear,0.4,0.1,3,7.5,1,1,501,0.0630500678278
masked,linear,0.4,0.1,3,7.5,1,2,355,0.0494042022372
masked,linear,0.4,0.1,3,7.5,1,3,251,0.042761074677
masked,linear,0.4,0.1,3,7.5,1,4,177,0.0504885360716
masked,linear,0.4,0.1,3,7.5,1,5,125,0.0682551901558
masked,linear,0.4,0.1,3,7.5,1,6,89,0.0703854786122
masked,linear,0.4,0.1,3,7.5,1,7,63,0.0754582240084
masked,linear,0.4,0.1,3,7.5,1,8,45,0.0889519456766
masked,linear,0.4,0.1,3,7.5,1,9,31,0.110973410782
masked,robust,0.4,0.1,3,7.5,1,1,501,0.0283428010183
masked,robust,0.4,0.1,3,7.5,1,2,355,0.0156477537827
masked,robust,0.4,0.1,3,7.5,1,3,251,0.0138337870422
masked,robust,0.4,0.1,3,7.5,1,4,177,0.0173276117198
masked,robust,0.4,0.1,3,7.5,1,5,125,0.0229787754935
masked,robust,0.4,0.1,3,7.5,1,6,89,0.0257970204213
masked,robust,0.4,0.1,3,7.5,1,7,63,0.0300167841828
masked,robust,0.4,0.1,3,7.5,1,8,45,0.0357892311813
masked,robust,0.4,0.1,3,7.5,1,9,31,0.0447001357081
masked,linear,0.4,0.1,3,7.5,2,1,501,0.0501064450568
masked,linear,0.4,0.1,3,7.5,2,2,355,0.0349225747037
masked,linear,0.4,0.1,3,7.5,2,3,251,0.0429410164641
masked,linear,0.4,0.1,3,7.5,2,4,177,0.045670273733
masked,linear,0.4,0.1,3,7.5,2,5,125,0.0497077150314
masked,linear,0.4,0.1,3,7.5,2,6,89,0.0531854060329
masked,linear,0.4,0.1,3,7.5,2,7,63,0.0575023625763
masked,linear,0.4,0.1,3,7.5,2,8,45,0.0667395089466
masked,linear,0.4,0.1,3,7.5,2,9,31,0.0980810370899
masked,robust,0.4,0.1,3,7.5,2,1,501,0.0247942672154
masked,robust,0.4,0.1,3,7.5,2,2,355,0.0137003442301
masked,robust,0.4,0.1,3,7.5,2,3,251,0.0153182585192
masked,robust,0.4,0.1,3,7.5,2,4,177,0.0156092310468
masked,robust,0.4,0.1,3,7.5,2,5,125,0.016955834786
masked,robust,0.4,0.1,3,7.5,2,6,89,0.0227414530761
masked,robust,0.4,0.1,3,7.5,2,7,63,0.0263566022862
masked,robust,0.4,0.1,3,7.5,2,8,45,0.0280436655623
masked,robust,0.4,0.1,3,7.5,2,9,31,0.0396542219926
masked,linear,0.4,0.15,1,2.5,0,1,501,0.0567107418864
masked,linear,0.4,0.15,1,2.5,0,2,355,0.0301567476659
masked,linear,0.4,0.15,1,2.5,0,3,251,0.0272032435293
