model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,mean_rmse
masked,linear,0.8,0.15,1.5,1.875,2,0.0489691189066
masked,linear,0.8,0.15,2,2.5,0,0.0701442855674
masked,linear,0.8,0.15,2,2.5,1,0.0612597533969
masked,linear,0.8,0.15,2,2.5,2,0.0572239920781
masked,linear,0.8,0.15,2.5,3.125,0,0.0801660849567
masked,linear,0.8,0.15,2.5,3.125,1,0.0713599675425
masked,linear,0.8,0.15,2.5,3.125,2,0.0664460870385
masked,linear,0.8,0.15,3,3.75,0,0.090779185351
masked,linear,0.8,0.15,3,3.75,1,0.0821721305694
masked,linear,0.8,0.15,3,3.75,2,0.0762935016619
masked,linear,0.8,0.2,1,1.25,0,0.0571663923226
masked,linear,0.8,0.2,1,1.25,1,0.0532047289863
masked,linear,0.8,0.2,1,1.25,2,0.0464376298642
masked,linear,0.8,0.2,1.5,1.875,0,0.0669072623076
masked,linear,0.8,0.2,1.5,1.875,1,0.0642810062803
masked,linear,0.8,0.2,1.5,1.875,2,0.0562326431395
masked,linear,0.8,0.2,2,2.5,0,0.0781948415579
masked,linear,0.8,0.2,2,2.5,1,0.0770451920721
masked,linear,0.8,0.2,2,2.5,2,0.0678183127364
masked,linear,0.8,0.2,2.5,3.125,0,0.0904536704501
masked,linear,0.8,0.2,2.5,3.125,1,0.0907832728806
masked,linear,0.8,0.2,2.5,3.125,2,0.0804273068565
masked,linear,0.8,0.2,3,3.75,0,0.103342907449
masked,linear,0.8,0.2,3,3.75,1,0.10511444872
masked,linear,0.8,0.2,3,3.75,2,0.0936492358816
masked,linear,0.8,0.25,1,1.25,0,0.0609638421041
masked,linear,0.8,0.25,1,1.25,1,0.0572529758404
masked,linear,0.8,0.25,1,1.25,2,0.0505468830836
masked,linear,0.8,0.25,1.5,1.875,0,0.0719568013312
masked,linear,0.8,0.25,1.5,1.875,1,0.0703460495447
masked,linear,0.8,0.25,1.5,1.875,2,0.0622917854787
masked,linear,0.8,0.25,2,2.5,0,0.0845077542702
masked,linear,0.8,0.25,2,2.5,1,0.0850954654941
masked,linear,0.8,0.25,2,2.5,2,0.0757026068592
masked,linear,0.8,0.25,2.5,3.125,0,0.0980414328697
masked,linear,0.8,0.25,2.5,3.125,1,0.100754785523
masked,linear,0.8,0.25,2.5,3.125,2,0.0900369074476
masked,linear,0.8,0.25,3,3.75,0,0.112225032851
masked,linear,0.8,0.25,3,3.75,1,0.116955231651
masked,linear,0.8,0.25,3,3.75,2,0.104919602348
masked,linear,0.8,0.3,1,1.25,0,0.0657233630541
masked,linear,0.8,0.3,1,1.25,1,0.0612980059722
masked,linear,0.8,0.3,1,1.25,2,0.0560494862577
masked,linear,0.8,0.3,1.5,1.875,0,0.0784237099945
masked,linear,0.8,0.3,1.5,1.875,1,0.0757644816952
masked,linear,0.8,0.3,1.5,1.875,2,0.0704377716217
masked,linear,0.8,0.3,2,2.5,0,0.0926478852466
masked,linear,0.8,0.3,2,2.5,1,0.091803160638
masked,linear,0.8,0.3,2,2.5,2,0.0865172085946
masked,linear,0.8,0.3,2.5,3.125,0,0.107814694736
masked,linear,0.8,0.3,2.5,3.125,1,0.108675737439
masked,linear,0.8,0.3,2.5,3.125,2,0.103502365753
masked,linear,0.8,0.3,3,3.75,0,0.12359949517
masked,linear,0.8,0.3,3,3.75,1,0.126037747694
masked,linear,0.8,0.3,3,3.75,2,0.121013246541
masked,robust,0.4,0.1,1,2.5,0,0.0262012039525
masked,robust,0.4,0.1,1,2.5,1,0.0238982844491
masked,robust,0.4,0.1,1,2.5,2,0.0198777254368
masked,robust,0.4,0.1,1.5,3.75,0,0.026507716806
masked,robust,0.4,0.1,1.5,3.75,1,0.0249177811031
masked,robust,0.4,0.1,1.5,3.75,2,0.0209576154966
masked,robust,0.4,0.1,2,5,0,0.0267272025341
masked,robust,0.4,0.1,2,5,1,0.0254844416657
masked,robust,0.4,0.1,2,5,2,0.0216606691583
masked,robust,0.4,0.1,2.5,6.25,0,0.0269477136732
masked,robust,0.4,0.1,2.5,6.25,1,0.0258175696401
masked,robust,0.4,0.1,2.5,6.25,2,0.0221505113921
masked,robust,0.4,0.1,3,7.5,0,0.0271738581049
masked,robust,0.4,0.1,3,7.5,1,0.0260482111722
masked,robust,0.4,0.1,3,7.5,2,0.0225748754127
masked,robust,0.4,0.15,1,2.5,0,0.0276067900895
masked,robust,0.4,0.15,1,2.5,1,0.0257150739654
masked,robust,0.4,0.15,1,2.5,2,0.0230237548566
masked,robust,0.4,0.15,1.5,3.75,0,0.0275992877149
masked,robust,0.4,0.15,1.5,3.75,1,0.0269061015708
masked,robust,0.4,0.15,1.5,3.75,2,0.0245173854669
masked,robust,0.4,0.15,2,5,0,0.0276641014382
masked,robust,0.4,0.15,2,5,1,0.027636266432
masked,robust,0.4,0.15,2,5,2,0.0257954862971
masked,robust,0.4,0.15,2.5,6.25,0,0.0278943153144
masked,robust,0.4,0.15,2.5,6.25,1,0.0280868473613
masked,robust,0.4,0.15,2.5,6.25,2,0.0268805906684
masked,robust,0.4,0.15,3,7.5,0,0.0282032609804
masked,robust,0.4,0.15,3,7.5,1,0.0283925434698
masked,robust,0.4,0.15,3,7.5,2,0.0278326295064
masked,robust,0.4,0.2,1,2.5,0,0.0296656233847
masked,robust,0.4,0.2,1,2.5,1,0.0311416366269
