t,clean,contaminated,additive_observation,clean_linear_1,additive_linear_1,clean_robust_1,additive_robust_1,masked_observation,masked_linear_1,masked_robust_1
0.822822822823,0.116180996452,0,1.59430797325,0.00385049602149,0.126802336826,0.00416012658288,0.0405320254663,1.59430797325,0.124888737138,0.0373993406264
0.823823823824,0.103274856348,0,1.24043046974,0.00255992985094,0.126470262617,0.00285468295251,0.0395584964724,1.24043046974,0.124846588686,0.0365810803779
0.824824824825,0.0932580355382,1,-1.19684111942,0.00125188222193,0.126011853274,0.00153180910775,0.0384495284633,-1.29009915496,0.124679041189,0.0356277622697
0.825825825826,0.0816557663399,0,0.0795433686079,-7.25416000871e-05,0.12566114485,0.0001926491346,0.0374527726901,0.0795433686079,0.124629057064,0.0347931328158
0.826826826827,0.0706897354788,1,0.79194407308,-0.0014120836326,0.125295452195,-0.00116152377449,0.036438132233,0.721254337601,0.124564972128,0.0339408297104
0.827827827828,0.0566180818993,0,0.82873165042,-0.0027655457411,0.124846437819,-0.00252953284179,0.0353263725642,0.82873165042,0.124425235051,0.0329987187435
0.828828828829,0.0406726123591,0,-0.155319934007,-0.00413142949755,0.124310702417,-0.003909861611,0.0341140861408,-0.155319934007,0.124199634156,0.0319562348943
0.82982982983,0.0187441144591,0,-0.139077662152,-0.00550805337822,0.123782808854,-0.00530078613764,0.03291217396,-0.139077662152,0.123982706095,0.0309241220904
0.830830830831,-0.00651023855684,1,1.89588367213,-0.00689315707454,0.123261652439,-0.00670003229283,0.0317187427497,1.90239391069,0.123773319561,0.0299006403265
0.831831831832,-0.0353786968178,0,-0.635963235401,-0.0082841556981,0.122552486069,-0.0081050210208,0.0303563466164,-0.635963235401,0.123376075857,0.0287083218734
0.832832832833,-0.0617728733527,0,-0.551721395019,-0.00967811171595,0.121898629094,-0.00951273728661,0.0290586555298,-0.551721395019,0.123034919311,0.0275807509473
0.833833833834,-0.0858721501177,0,-0.150072067141,-0.0110723192609,0.121292086777,-0.0109204484549,0.0278170149438,-0.150072067141,0.122741855187,0.0265092330022
0.834834834835,-0.104401086472,0,-0.0498712990352,-0.0124642869962,0.120694549672,-0.0123256790479,0.0265861615306,-0.0498712990352,0.122458574038,0.0254486782084
0.835835835836,-0.11985471789,0,-0.52211109462,-0.013852052819,0.120096843141,-0.0137264297164,0.0253546564074,-0.52211109462,0.122175840509,0.024387547347
0.836836836837,-0.129547526562,0,0.104594944745,-0.0152339445291,0.119544611781,-0.015121002933,0.0241768631269,0.104594944745,0.121939204474,0.0233801101365
0.837837837838,-0.13749483608,0,-0.358523362935,-0.016608838103,0.118977928613,-0.0165083060243,0.0229805055419,-0.358523362935,0.121688642763,0.0223539290377
0.838838838839,-0.145563799498,0,0.332061614071,-0.0179757729065,0.118441386014,-0.0178873830844,0.0218200106348,0.332061614071,0.121468685562,0.0213635330174
0.83983983984,-0.153869868509,0,-0.514458700419,-0.019333773775,0.117868645839,-0.019257230812,0.020614201473,-0.514458700419,0.121212994726,0.0203276725435
0.840840840841,-0.164687448288,0,0.138821154063,-0.0206818419285,0.117340926434,-0.0206168568323,0.019461217353,0.138821154063,0.121002788602,0.0193445498144
0.841841841842,-0.175099761409,0,0.0149086665357,-0.0220187381418,0.116795537289,-0.0219650647969,0.0182855779632,0.0149086665357,0.120775376681,0.0183385918069
0.842842842843,-0.183385677156,0,-0.249689404722,-0.0233432642033,0.116244572257,-0.0233006207783,0.0171019435796,-0.249689404722,0.120542852815,0.0173245175917
0.843843843844,-0.190359587846,1,7.91420120701,-0.0246544293197,0.115713631628,-0.0246225284237,0.0159417523419,8.10456079485,0.120330817295,0.0163338246885
0.844844844845,-0.196233578622,0,0.22005209642,-0.025951371851,0.114419296375,-0.0259299630481,0.0145947931338,0.22005209642,0.119337576717,0.0151561719726
0.845845845846,-0.202723339488,0,-0.636377949501,-0.0272333379155,0.113100580974,-0.0272221754514,0.0132164359343,-0.636377949501,0.118320419934,0.0139470460805
0.846846846847,-0.20964284262,0,-0.235101796849,-0.028499514708,0.111839922214,-0.0284983289158,0.0119051837072,-0.235101796849,0.117361783734,0.012804846196
0.847847847848,-0.219216071594,0,-1.14525171494,-0.0297490461555,0.110598943925,-0.029757569779,0.0106167561472,-1.14525171494,0.116423291948,0.0116854028908
0.848848848849,-0.227091218905,0,0.489705013815,-0.0309808177474,0.109465072952,-0.0309988292667,0.00944131617157,0.489705013815,0.115592371418,0.0106787305941
0.84984984985,-0.234239235354,0,-0.068361618481,-0.0321938732758,0.108281455833,-0.0322211363074,0.00820405551713,-0.068361618481,0.114712168685,0.0096102570519
0.850850850851,-0.239368296513,0,-0.15570864391,-0.0333873215288,0.107101843817,-0.0334235929269,0.00697017369351,-0.15570864391,0.113836434998,0.00854499219429
0.851851851852,-0.24294690169,1,2.34871633202,-0.0345604606056,0.105934965759,-0.0346055024349,0.00575032086972,2.59166323371,0.11297389921,0.0074936914255
0.852852852853,-0.244082683267,1,0.907105205549,-0.0357127336513,0.104540874234,-0.0357663542426,0.00435571654473,1.15118788882,0.111861291182,0.00626375315731
0.853853853854,-0.24249871864,0,-0.543003344406,-0.0368438152035,0.103058299604,-0.0369058081359,0.00285872662016,-0.543003344406,0.11063723224,0.004911210603
0.854854854855,-0.241367841529,0,0.561831952497,-0.0379536377488,0.101626568897,-0.0380237956174,0.00142088039993,0.561831952497,0.109464429855,0.00361759906854
0.855855855856,-0.240696551951,0,-0.981846402351,-0.0390420866798,0.10013940484,-0.0391202039624,-8.50794570971e-05,-0.981846402351,0.108236502007,0.00225561728865
0.856856856857,-0.242000432757,0,0.623479692261,-0.0401089990846,0.0987447979342,-0.0401949169949,-0.00148955450811,0.623479692261,0.107101385761,0.000995034803393
